repo,issue_id,issue_total_tokens,issue_body_tokens,issue_comment_tokens,issue_num_sections,issue_num_comments,issue_has_satd,issue_satd_section_ratio,issue_satd_token_ratio,issue_satd_primary_type,issue_sentiment_score,issue_sentiment_variance,issue_priority_score
ADIOS2,Issue_4753,38,0,0,2,0,0,0.0,0.0,,1.0,0.0,0.0850093842795741
visit,Issue_4745,400,0,274,11,7,1,0.2727272727272727,0.1525,documentation_debt,0.27,0.8274454545454545,0.046415204219021705
visit,Issue_4738,219,0,140,8,4,1,0.125,0.1324200913242009,code/design_debt,-0.1050228310502283,1.0110297950418048,0.11127403069101403
visit,Issue_4736,262,0,193,11,7,1,0.2727272727272727,0.6641221374045801,documentation_debt,0.10687022900763359,0.8754045907475195,0.05440823719164704
visit,Issue_4735,188,0,0,4,0,1,0.25,0.39893617021276595,documentation_debt,0.20212765957446807,0.838727931190584,0.03274426323738885
kokkos,Issue_4723,360,0,213,9,5,0,0.0,0.0,,0.12777777777777777,0.9311419753086422,0.04914540607391598
ADIOS2,Issue_4721,231,0,0,2,0,0,0.0,0.0,,1.0,0.0,0.07894122576750949
kokkos,Issue_4716,722,0,403,16,12,0,0.0,0.0,,-0.26869806094182824,1.3408967088957262,0.10164363015950224
visit,Issue_4711,423,0,74,13,7,1,0.07692307692307693,0.0591016548463357,code/design_debt,1.0,0.0,0.0821667354633018
kokkos,Issue_4700,135,0,59,9,5,0,0.0,0.0,,0.18518518518518517,0.7462277091906724,0.04060459948091456
kokkos,Issue_4696,277,0,161,10,6,1,0.1,0.18050541516245489,test_debt,0.6823104693140795,0.37385082563307226,0.05140560477726468
visit,Issue_4682,707,0,459,8,4,1,0.25,0.2984441301272984,code/design_debt,1.0,0.0,0.07703777354835573
visit,Issue_4677,546,0,297,15,9,1,0.13333333333333333,0.38278388278388276,test_debt,0.7289377289377289,0.6566249379436191,0.06398889792580219
ADIOS2,Issue_4676,3,0,0,1,0,0,0.0,0.0,,-1.0,0.0,0.17107536273866206
ADIOS2,Issue_4675,118,0,12,3,1,0,0.0,0.0,,-0.6949152542372882,1.9461840467298668,0.16593603487484185
visit,Issue_4674,647,0,509,9,5,1,0.1111111111111111,0.030911901081916538,test_debt,-0.3941267387944359,1.768421924357415,0.12606037580659926
visit,Issue_4673,119,0,35,5,1,1,0.4,0.6638655462184874,code/design_debt,0.2605042016806723,0.7552573970764777,0.04466745110573126
visit,Issue_4672,139,0,27,6,2,1,0.3333333333333333,0.3237410071942446,documentation_debt,-0.1223021582733813,1.1780273622828354,0.12901147326206489
visit,Issue_4671,245,0,142,8,4,1,0.5,0.46938775510204084,documentation_debt,-0.06938775510204082,1.0395085381091214,0.046086425315734425
ADIOS2,Issue_4670,64,0,26,3,1,1,0.3333333333333333,0.40625,test_debt,1.0,0.0,0.14954491412819293
kokkos,Issue_4669,269,0,117,10,6,1,0.1,0.12639405204460966,documentation_debt,0.8438661710037175,0.36192424095852743,0.07922499003275
kokkos,Issue_4668,195,0,125,6,2,1,0.3333333333333333,0.7128205128205128,requirement_debt,-0.06666666666666667,1.0933333333333335,0.1395714095205395
ADIOS2,Issue_4661,177,0,0,2,0,1,0.5,0.9491525423728814,documentation_debt,1.0,0.0,0.018420430289605955
ADIOS2,Issue_4659,765,0,585,10,8,0,0.0,0.0,,-0.3542483660130719,0.8420932120124738,0.08385757964179755
visit,Issue_4657,385,0,279,11,7,1,0.18181818181818182,0.3038961038961039,test_debt,-0.5532467532467532,1.4066722887502108,0.09788469251502029
visit,Issue_4652,396,0,158,7,3,0,0.0,0.0,,-0.015151515151515152,1.0218745900564081,0.07306280706178658
ADIOS2,Issue_4645,96,0,0,2,0,1,1.0,1.0,code/design_debt,-1.0,0.0,0.1176574221428101
visit,Issue_4630,1991,0,1704,29,25,1,0.06896551724137931,0.06328478151682572,documentation_debt,0.5107985936715218,0.6620478865784682,0.094622911330043
ADIOS2,Issue_4622,455,0,364,16,14,1,0.125,0.2,code/design_debt,-0.08571428571428572,1.0287755102040816,0.09159061036984854
kokkos,Issue_4621,1267,0,972,20,16,1,0.1,0.18705603788476716,code/design_debt,0.6637726913970008,0.5113124178886169,0.058490394904368026
visit,Issue_4620,841,0,460,13,9,1,0.23076923076923078,0.44351961950059454,code/design_debt,-0.7835909631391201,1.4934623416457373,0.07966392183929462
ADIOS2,Issue_4617,63,0,59,7,6,0,0.0,0.0,,0.873015873015873,0.5149911816578483,0.087253874292332
visit,Issue_4612,624,0,177,20,14,0,0.0,0.0,,-0.5961538461538461,1.474630177514793,0.0840406288506039
kokkos,Issue_4597,1152,0,918,24,20,1,0.08333333333333333,0.0998263888888889,test_debt,-0.24305555555555555,1.05907600308642,0.07033805715297398
ADIOS2,Issue_4588,238,0,205,9,7,1,0.2222222222222222,0.2184873949579832,documentation_debt,0.03361344537815126,0.9787209001247559,0.033218480599113656
ADIOS2,Issue_4586,285,0,134,3,1,1,0.3333333333333333,0.47017543859649125,code/design_debt,0.05964912280701754,0.9637919359803017,0.12531205569242823
visit,Issue_4585,204,0,114,11,7,1,0.09090909090909091,0.36764705882352944,documentation_debt,0.47058823529411764,0.45139981126140294,0.049396788825459025
ADIOS2,Issue_4580,160,0,0,2,0,0,0.0,0.0,,-1.0,0.0,0.13863539865445024
ADIOS2,Issue_4579,109,0,0,2,0,1,0.5,0.8990825688073395,test_debt,-0.7981651376146789,1.6370675869034592,0.12552243934839033
ADIOS2,Issue_4577,52,0,1,3,1,0,0.0,0.0,,0.6153846153846154,0.9684418145956609,0.09831561058295876
visit,Issue_4573,907,0,733,22,16,1,0.09090909090909091,0.18081587651598677,code/design_debt,-0.15766262403528114,1.1108552979460258,0.05955573473048259
visit,Issue_4572,303,0,34,6,2,1,0.3333333333333333,0.36633663366336633,documentation_debt,0.40594059405940597,0.8941607031990326,0.07227183890438466
visit,Issue_4565,313,0,167,7,3,1,0.7142857142857143,0.8913738019169329,documentation_debt,1.0,0.0,0.040722960432806536
visit,Issue_4563,264,0,0,4,0,1,0.25,0.5265151515151515,documentation_debt,0.1590909090909091,0.866219008264463,0.08810177322788997
kokkos,Issue_4562,631,0,451,14,10,1,0.07142857142857142,0.058637083993660855,test_debt,-0.001584786053882726,1.0000025115468367,0.09579931069546235
visit,Issue_4561,307,0,53,11,5,1,0.09090909090909091,0.41042345276872966,test_debt,0.09446254071661238,0.9230481345835355,0.09513677915888748
visit,Issue_4560,383,0,220,6,2,1,0.16666666666666666,0.22193211488250653,code/design_debt,-0.5143603133159269,0.9216596563705073,0.06903653696241398
visit,Issue_4559,249,0,84,6,2,1,0.5,0.8514056224899599,code/design_debt,-0.3333333333333333,1.1111111111111112,0.09092301610700326
visit,Issue_4558,285,0,73,10,4,0,0.0,0.0,,-0.03859649122807018,1.0323668821175747,0.10563827418031638
ADIOS2,Issue_4556,52,0,36,5,3,0,0.0,0.0,,1.0,0.0,0.15203162263637962
kokkos,Issue_4534,341,0,287,12,8,0,0.0,0.0,,0.8768328445747801,0.3074477630338002,0.048337657674596655
ADIOS2,Issue_4522,1267,0,957,12,10,1,0.16666666666666666,0.2154696132596685,code/design_debt,0.10181531176006314,0.94248948320209,0.019202879836606068
visit,Issue_4505,56,0,20,5,1,0,0.0,0.0,,1.0,0.0,0.027645340244108
ADIOS2,Issue_4502,274,0,0,2,0,0,0.0,0.0,,-0.948905109489051,1.900420906814428,0.017806984159340414
ADIOS2,Issue_4496,210,0,103,3,1,1,0.6666666666666666,0.9857142857142858,code/design_debt,-0.9714285714285714,1.2960544217687076,-0.01720888242334015
